type, size, block_size, time, FLOPS, L1_DCM, L2_DCM, TOT_CYC, TOT_INS
Multiplication, 600, -, 0.281249, 1536.005461,244736292, 37455559, 871782310, 1518188606
Multiplication, 600, -, 0.225979, 1911.682059,244739942, 37898763, 876167180, 1518184311
Multiplication, 600, -, 0.223311, 1934.521810,244752468, 38012325, 867982096, 1518184256
Multiplication, 600, -, 0.223201, 1935.475199,244755233, 38277923, 867993967, 1518184272
Multiplication, 600, -, 0.224201, 1926.842432,244753424, 38257034, 866707881, 1518184294
Multiplication, 600, -, 0.224022, 1928.382034,244755233, 39240431, 869538560, 1518184268
Multiplication, 600, -, 0.224748, 1922.152811,244762756, 38965989, 867164701, 1518184273
Multiplication, 600, -, 0.222808, 1938.889088,244761705, 38423927, 867412835, 1518184256
Multiplication, 600, -, 0.223359, 1934.106080,244780132, 38886452, 865237554, 1518184225
Multiplication, 600, -, 0.222103, 1945.043516,244780240, 37912375, 863978075, 1518184276
Multiplication, 1000, -, 1.540651, 1298.152534,1228682269, 168960329, 5979822209, 7017079437
Multiplication, 1000, -, 1.421469, 1406.995158,1229648992, 179189455, 5517348092, 7017079991
Multiplication, 1000, -, 1.427859, 1400.698528,1229551673, 176379620, 5541245063, 7017079959
Multiplication, 1000, -, 1.438569, 1390.270470,1229593408, 180145752, 5589544969, 7017079949
Multiplication, 1000, -, 1.452117, 1377.299488,1229496020, 183964217, 5653189313, 7017080022
Multiplication, 1000, -, 1.443725, 1385.305373,1229515437, 241428133, 5603998096, 7017079982
Multiplication, 1000, -, 1.454175, 1375.350285,1229561041, 238937335, 5655573231, 7017080009
Multiplication, 1000, -, 1.573277, 1271.231957,1229570897, 229595281, 5738354950, 7017080034
Multiplication, 1000, -, 1.446949, 1382.218724,1229514168, 241948223, 5629242405, 7017080012
Multiplication, 1000, -, 1.475425, 1355.541624,1229540505, 273344364, 5728096226, 7017080029
Multiplication, 1400, -, 4.226497, 282.274589,3534445453, 773333672, 16422284256, 19241417701
Multiplication, 1400, -, 4.377426, 272.542061,3520016753, 1554560992, 17025783077, 19241418300
Multiplication, 1400, -, 4.477814, 266.431947,3520059236, 1571843718, 17393928739, 19241418367
Multiplication, 1400, -, 4.414898, 270.228826,3520182176, 1413039571, 17162366444, 19241418321
Multiplication, 1400, -, 4.391268, 271.682964,3520037875, 1370436196, 17070645553, 19241418363
Multiplication, 1400, -, 4.489928, 265.713104,3519891975, 1314843134, 16913719065, 19241418354
Multiplication, 1400, -, 4.541047, 262.721946,3520013480, 1410273414, 17660286634, 19241418397
Multiplication, 1400, -, 4.302984, 277.257063,3519804923, 1334009460, 16750138035, 19241418330
Multiplication, 1400, -, 4.469027, 266.955806,3520060659, 1539002528, 17362760323, 19241418363
Multiplication, 1400, -, 4.361574, 273.532606,3520010474, 1514652361, 16981857877, 19241418316
Multiplication, 1800, -, 21.054434, -57.987875,9092825704, 4674575466, 82039080654, 40879203866
Multiplication, 1800, -, 21.022916, -58.074812,9056002643, 7596369121, 81889416377, 40879204454
Multiplication, 1800, -, 21.184575, -57.631644,9056166505, 8304586892, 82462247173, 40879204514
Multiplication, 1800, -, 21.293076, -57.337976,9055855314, 8642625731, 83056511825, 40879204541
Multiplication, 1800, -, 21.156684, -57.707620,9056044359, 7783758811, 82366255486, 40879204472
Multiplication, 1800, -, 21.073276, -57.936027,9056106425, 7485460420, 81992369282, 40879204470
Multiplication, 1800, -, 21.188963, -57.619709,9056099212, 8227117186, 82532575490, 40879204488
Multiplication, 1800, -, 21.000432, -58.136989,9056217155, 7358625126, 81726290189, 40879204434
Multiplication, 1800, -, 21.226607, -57.517524,9056290085, 8163260389, 82464178757, 40879204524
Multiplication, 1800, -, 23.234826, -52.546203,9058943984, 7945113810, 82319180070, 40879356687
Multiplication, 2200, -, 45.333209, -3.944933,17626207314, 22985374955, 176399350385, 74618430353
Multiplication, 2200, -, 45.496552, -3.930770,17625928426, 23583551332, 177032182009, 74618430402
Multiplication, 2200, -, 45.118704, -3.963688,17626409236, 22702337972, 175496400753, 74618430263
Multiplication, 2200, -, 45.384234, -3.940498,17625957899, 23501647942, 176635419569, 74618430670
Multiplication, 2200, -, 45.230342, -3.953905,17625892262, 23136200138, 176180301439, 74618430278
Multiplication, 2200, -, 45.215580, -3.955196,17626056250, 22955538453, 176011775673, 74618430265
Multiplication, 2200, -, 45.449830, -3.934811,17625885536, 23795433614, 176897311905, 74618430438
Multiplication, 2200, -, 45.337998, -3.944516,17625816910, 23167471637, 176514925206, 74618430380
Multiplication, 2200, -, 45.672075, -3.915664,17625669027, 23622752785, 176811389210, 74618430515
Multiplication, 2200, -, 45.325557, -3.945599,17625636669, 23422725521, 176436441242, 74618430356
Multiplication, 2600, -, 81.695277, 9.697765,30876627309, 51874202460, 317721803368, 123147103123
Multiplication, 2600, -, 81.730660, 9.693567,30876074043, 51313743407, 317949458739, 123147103139
Multiplication, 2600, -, 81.760779, 9.689996,30876593031, 51947628117, 317720137524, 123147103115
Multiplication, 2600, -, 81.787235, 9.686862,30876137514, 52288021683, 318286747326, 123147103134
Multiplication, 2600, -, 83.792587, 9.455032,30878492666, 52461042049, 317703597225, 123147252801
Multiplication, 2600, -, 91.021524, 8.704113,30890695186, 52561197250, 321912015874, 123147700646
Multiplication, 2600, -, 81.329532, 9.741377,30877007011, 51625282231, 316381485245, 123147102998
Multiplication, 2600, -, 81.348984, 9.739048,30876802761, 52021346622, 316784449566, 123147103003
Multiplication, 2600, -, 82.236377, 9.633956,30876375205, 52734819522, 319351453832, 123147103309
Multiplication, 2600, -, 81.204135, 9.756420,30877327793, 51995815589, 315326415030, 123147102988
Multiplication, 3000, -, 140.893408, -13.021013,50295671407, 98460749020, 534506022408, 189153471687
Multiplication, 3000, -, 157.946440, -11.615171,50317464542, 100067339400, 548864724085, 189154505320
Multiplication, 3000, -, 151.926524, -12.075409,50305000725, 96970548250, 536076520724, 189154273386
Multiplication, 3000, -, 136.964262, -13.394551,50292987058, 96467968498, 532179054720, 189153223551
Multiplication, 3000, -, 138.166420, -13.278008,50293454825, 95859565946, 532220463495, 189153328099
Multiplication, 3000, -, 137.028754, -13.388247,50292141057, 96676562547, 532956738619, 189153225056
Multiplication, 3000, -, 144.523801, -12.693929,50300054507, 97457231719, 533674348441, 189153770813
Multiplication, 3000, -, 144.006841, -12.739498,50297846670, 97562010840, 532618356339, 189153743263
Multiplication, 3000, -, 136.164311, -13.473243,50292071798, 94820115139, 530012858605, 189153223768
Multiplication, 3000, -, 138.890483, -13.208787,50294835494, 96478436486, 532541824903, 189153367287
Line Multiplication, 600, -, 0.137694, 3137.391607,27121478, 56159225, 480842646, 1518901782
Line Multiplication, 600, -, 0.135881, 3179.252434,27219357, 56502660, 478952606, 1518898556
Line Multiplication, 600, -, 0.133531, 3235.203810,27218601, 56545499, 474254941, 1518898524
Line Multiplication, 600, -, 0.133505, 3235.833864,27217340, 56529172, 475064608, 1518898596
Line Multiplication, 600, -, 0.135414, 3190.216669,27219788, 56565067, 479357509, 1518898560
Line Multiplication, 600, -, 0.135152, 3196.401089,27220637, 56557226, 478767880, 1518900247
